,Latitude,Longitue
0,37.945156805555555,-82.64275230555556
1,37.96613366666667,-82.68560030555555
2,37.96442027777778,-82.68504622222223
3,37.97984505555556,-82.71136416666667
4,37.98007852777778,-82.71104841666667
5,37.980204694444446,-82.71108594444445
6,37.98058786111111,-82.71112269444444
7,37.98157063888889,-82.71165652777778
8,37.98228958333333,-82.71177583333333
9,37.98269663888889,-82.71196986111111
10,37.98268563888889,-82.71199769444445
11,37.96599852777778,-82.68565469444445
12,37.98225313888889,-82.71177744444445
13,37.98179213888889,-82.711794
14,37.98162502777778,-82.71167305555556
15,37.98102291666667,-82.71151836111112
16,37.98024755555556,-82.71117858333334
17,37.97931558333334,-82.7114883888889
18,37.94435333333333,-82.6422045
19,37.944865361111106,-82.64258544444445
20,37.94486347222222,-82.64258575000001
21,37.94486352777778,-82.64258747222223
22,37.966168111111116,-82.68575775000001
23,37.94486552777777,-82.64258602777778
24,37.944866472222216,-82.64258413888889
25,37.944868638888885,-82.64257858333335
26,37.94502438888888,-82.64261180555556
27,37.94629333333333,-82.64326397222223
28,37.94706788888889,-82.64384427777779
29,37.946943138888884,-82.64381344444445
30,37.94694363888888,-82.6438131388889
31,37.946597,-82.64358119444445
32,37.94659705555555,-82.64358002777779
33,37.966456111111114,-82.68592761111111
34,37.946569,-82.64345441666667
35,37.94666358333333,-82.64356508333334
36,37.94512955555555,-82.64278897222223
37,37.968545166666665,-82.68701683333333
38,37.96912575,-82.68725883333333
39,37.969123555555555,-82.68725391666668
40,37.96819083333334,-82.68672733333334
41,37.966890222222226,-82.6859291388889
42,38.069859138888894,-82.60608152777777
43,38.069211861111114,-82.59913586111111
44,38.06921947222222,-82.59915594444443
45,38.06941091666667,-82.59949255555556
46,38.069451,-82.59941099999999
47,38.06945008333334,-82.59941658333332
48,38.06970669444445,-82.59960824999999
49,38.07041344444445,-82.60041361111111
50,38.070402361111114,-82.60042691666666
51,38.07043930555556,-82.60134186111111
52,38.07043936111111,-82.60134172222222
53,38.069442333333335,-82.6072995
54,38.070438055555556,-82.60134188888888
55,38.07043875,-82.60134169444444
56,38.07084616666667,-82.60207972222221
57,38.07079327777778,-82.60228475
58,38.07079277777778,-82.60228438888889
59,38.07051444444445,-82.6035005
60,38.07051083333334,-82.60350302777778
61,38.07049175,-82.60356527777778
