,Latitude,Longitude
0,38.69096047800008,-82.89049201699999
1,38.47469614500005,-82.65800814399995
2,38.35383115400003,-82.69647576099999
3,38.00598685600005,-82.53097398299997
4,38.32733442900008,-82.89213110099996
5,38.69689722700008,-82.99016137599995
6,38.42534034900007,-82.69615705899997
7,38.51180600100002,-82.77126066599999
8,38.51283607400006,-82.69332036899993
9,38.38703532900007,-82.71436850999999
10,38.33400781100005,-82.99212266199999
11,38.34216180600004,-82.71542904899997
12,38.49269341100006,-82.66237045499997
13,38.23970036200006,-82.91263309299995
14,38.46568112200003,-82.69664047099997
15,38.43854389100005,-82.67313480599995
16,38.43655984100008,-82.62387614899995
17,38.31813200500005,-82.64596178199997
18,38.54658032700007,-82.75822041999999
19,38.55508320000007,-82.81786817399995
20,38.09126619200003,-82.60212126499994
21,38.36342310400005,-82.67677802899999
22,38.50339801900003,-82.70272535399994
23,38.40721824400003,-82.60138538399997
24,38.48257978000004,-82.69963551899997
25,38.29564275000007,-82.63029839399996
26,37.96459948000006,-82.66810552299995
27,38.28439659800006,-82.94758640799995
28,37.98900888200006,-82.70966044699998
29,38.46115942900008,-82.74457810799998
30,38.22635263400008,-82.86776002399995
31,38.24136398100006,-82.69219186099997
32,38.17928307600005,-82.87485483399996
33,38.47571187200003,-82.69924832299995
34,38.05092625800006,-82.63808927099996
35,38.25321411900006,-83.25822344699998
36,38.41739707500005,-82.70868377999994
37,38.45981767700005,-82.66330937399994
38,38.06819096100003,-82.72194178699993
39,38.02951408400003,-82.68561511799999
40,38.35651175800007,-82.63296401799994
41,38.29702924000003,-83.31733073099997
42,37.98424913200006,-82.67970656999995
43,38.04981879500008,-82.78758535899999
44,38.16799807000007,-82.65988825399995
45,37.92255369400004,-83.25839955899994
46,38.70511051800003,-82.94703621399998
47,38.02239826200002,-82.62409773999997
48,38.07122412200005,-82.56708411699998
49,38.17616848800003,-82.66027881799994
50,38.53665379800003,-82.76017514199998
51,38.40778781200004,-82.59926256199998
52,38.00311886900005,-82.70296907999995
53,38.25224281500005,-82.58865786399997
54,38.53492346200005,-82.76159224699995
55,38.53740087400007,-82.73685678099997
56,38.28979479300006,-82.74302881699998
57,38.43019797300008,-82.65615431899994
58,38.35414472800005,-83.25285453499998
59,38.38109630100007,-82.70378011699995
60,38.30841393400004,-82.95244295999998
61,38.34603736000003,-82.68368107999999
62,38.43223881900008,-82.75607020199999
63,38.15063103200004,-82.72477213099995
64,38.33639613800005,-82.94771762699997
65,38.28427257400006,-83.07676852899993
66,38.49428193400007,-82.77209060899997
67,38.31573031700003,-82.82311973799995
68,38.51673928800005,-82.73530678899994
69,38.45466754200004,-82.64677894799996
70,38.30891869500005,-83.20673558099998
71,38.31774306300008,-82.64609081999998
72,38.22086082200008,-82.63436065999997
73,38.03869620100005,-82.68381107299996
